SAMPLE,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG,loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG,line_counts
HH001_B1_SA_S2,0.12104497204424004,0.6778518434477443,0.15735846365751205,2.360376954862681,0.03631349161327201,0.012104497204424006,0.0,0.2662989384973281,2.529839915724617,0.3873439105415682,41.72420186364954,0.08473148043096804,0.024208994408848012,0.0,2.271868513,3.45086314,2.523277219,3.008695908,1.078992208,0,0,82613923.0
HH003_B3_SA_S6,0.0,0.026583378107495552,0.0,2.3260455844058607,0.0,0.0,0.0,0.0,0.053166756214991104,0.0,23.36678935648859,0.0,0.0,0.0,0.0,0.693147181,0.0,3.714189446,0.0,0,0,75234983.0
HH003_D_SA_S7,0.01571739297551672,0.07858696487758358,0.04715217892655015,1.9175219430130397,0.01571739297551672,0.0,0.0,0.11002175082861704,0.26719568058378423,0.1886087157062006,11.992370840319255,0.03143478595103344,0.0,0.0,0.0,1.537662651,0.959614794,4.187213813,0.0,0,0,63623783.0
HH003_K_SA_S8,0.0,0.0,0.0,2.4940695937621657,0.0,0.0,0.0,0.0,0.0,0.0,15.115573295528277,0.0,0.0,0.0,0.0,0.0,0.0,4.016619755,0.0,0,0,39694161.0
HH003_R_SA_S9,0.06611363929667782,0.0,0.0,2.512318293273757,0.0,0.0,0.0,0.2644545571867113,0.0,0.0,10.974864123248517,0.0,0.0,0.0,0.0,0.0,0.0,3.320484883,0.0,0,0,15125472.0
