SAMPLE,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG,loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
HH001_B1_SA_S2,10,56,13,195,3,1,0,22,209,32,3447,7,2,0,2.271868513,3.45086314,2.523277219,3.008695908,1.078992208,0,0
HH003_B3_SA_S6,0,2,0,175,0,0,0,0,4,0,1758,0,0,0,0,0.693147181,0,3.714189446,0,0,0
HH003_D_SA_S7,1,5,3,122,1,0,0,7,17,12,763,2,0,0,0,1.537662651,0.959614794,4.187213813,0,0,0
HH003_K_SA_S8,0,0,0,99,0,0,0,0,0,0,600,0,0,0,0,0,0,4.016619755,0,0,0
HH003_R_SA_S9,1,0,0,38,0,0,0,4,0,0,166,0,0,0,0,0,0,3.320484883,0,0,0
